LocationTitle,X,new_y,race_words,value
Tidewater Virginia,1887,-922,N-word,45
Sutpen Plantation,153,-193,Negro,38
Sutpen Plantation,153,-193,N-word,37
Sutpen Plantation,153,-193,Black,23
Downed Log in Woods,653,-209,N-word,10
Harvard University,1939,-831,N-word,10
Jefferson Courthouse and Square,658,-819,Negro,9
Sutpen Plantation Stable,185,-173,Negro,9
Tallahatchie River Bottom,1077,-121,N-word,9
Jefferson Methodist Church,607,-763,Negro,8
Coldfield House,635,-851,Black,7
Compson Place,693,-894,Negro,7
Episcopal Church in the County,462,-657,Negro,7
Sutpen Plantation Stable,185,-173,N-word,6
Coldfield House,635,-851,Negro,5
"New Orleans, Louisiana",1695,-556,Black,5
Sutpen Plantation Gate,152,-246,Negro,5
Haiti,1696,-1348,Black,4
Jefferson Courthouse and Square,658,-819,Black,4
"New Orleans, Louisiana",1695,-556,N-word,4
Cabin near Sutpen's Hundred,298,-345,Negro,3
Compson Place,693,-894,N-word,3
Fishing Camp|Hunting Camp,136,-117,N-word,3
Haiti,1696,-1348,N-word,3
Jefferson Courthouse and Square,658,-819,N-word,3
Mississippi River,1742,-972,Negro,3
Sutpen Plantation Gardens,130,-193,N-word,3
Sutpen Plantation Stable,185,-173,Black,3
"University of Mississippi, Oxford",1723,-308,N-word,3
Virginia,1867,-919,N-word,3
Carolina in the Civil War,1847,-965,N-word,2
Coldfield House,635,-851,N-word,2
Compson Place,693,-894,Black,2
Holston House,658,-790,Negro,2
Jefferson Negro Store District,578,-794,Negro,2
Midwife|Dicey's Cabin,330,-202,N-word,2
"New Orleans, Louisiana",1695,-556,Negro,2
Northwest Road|Jefferson to Memphis,389,-555,Black,2
"University of Mississippi, Oxford",1723,-308,Black,2
"University of Mississippi, Oxford",1723,-308,Negro,2
Virginia,1867,-919,Black,2
Cabin near Sutpen's Hundred,298,-345,Black,1
Carolina in the Civil War,1847,-965,Negro,1
Downed Log in Woods,653,-209,Negro,1
Fishing Camp|Hunting Camp,136,-117,Black,1
General Compson's|Mr. Compson's Office,688,-837,Negro,1
General Compson's|Mr. Compson's Office,688,-837,N-word,1
Harvard University,1939,-831,Black,1
Holston House,658,-790,Black,1
Jefferson Negro Store District,578,-794,Black,1
Mississippi River,1742,-972,N-word,1
Northwest Road|Jefferson to Memphis,389,-555,N-word,1
Sutpen Plantation Gate,152,-246,N-word,1
Sutpen Plantation Graveyard,281,-207,Black,1
Sutpen's Store,188,-255,Black,1
Sutpen's Store,188,-255,Negro,1
Tidewater Virginia,1887,-922,Black,1
