RoundDate,black,blood,negro,n_word,white,RangeDate
1815,2,1,0,3,4,
1820,1,3,0,45,12,1815 -
1825,4,9,0,2,2,1820 -
1830,0,0,0,1,0,1825 -
1835,3,1,17,36,3,1830 -
1840,0,1,18,2,0,1835 -
1845,0,0,0,0,0,1840 -
1850,1,3,13,2,5,1845 -
1855,8,5,12,6,4,1850 -
1860,12,31,8,24,22,1855 -
1865,6,21,9,5,17,1860 -
1870,5,1,4,5,4,1865 -
1875,1,0,2,2,2,1870 -
1880,7,2,11,0,12,1875 -
1885,0,0,0,0,0,1880 -
1890,0,0,0,0,0,1885 -
1895,0,0,0,0,0,1890 -
1900,0,0,0,0,1,1895 -
1905,0,0,0,0,0,1900 -
1910,12,12,12,19,8,1905 -
